Sector,Industry,PE Ratio,PE Ratio without NRI,Shiller PE Ratio,EV-to-EBIT,EV-to-EBITDA,EV-to-Revenue,PS Ratio,PB Ratio,Price-to-Tangible-Book,Price-to-Free-Cash-Flow,Price-to-Operating-Cash-Flow,Price-to-Median-PS-Value,Dividend Yield %,Dividend Payout Ratio,Gross Margin %,Net Margin %,Operating Margin %,Pre-Tax Margin %,ROE %,ROA %,ROC (Joel Greenblatt) %,ROIC %,WACC %,Altman Z-Score,Piotroski F-Score,Beneish M-Score,Debt-to-Equity,Cash-to-Debt,Equity-to-Asset,Days Sales Outstanding,Days Inventory,Days Payable,Cash Conversion Cycle,Forward Rate of Return (Yacktman) %,Current Ratio,Quick Ratio,Interest Coverage,Beta,5-Year Revenue Growth Rate,10-Year Revenue Growth Rate
Basic Materials,Overall,19.08,19.08,17.31,6.33,5.98,1.37,1.11,1.62,1.74,12.59,8.27,1.09,0.0196,0.35,0.2187,0.031200000000000002,0.057,0.0436,0.0245,0.0091,0.044800000000000006,0.0195,0.0708,2.52,4,-2.73,0.34,0.86,0.54,58.6,84.67,60.98,75.76,0.0758,1.85,1.33,11.03,1.07,0.034,0.031
Basic Materials,Agricultural Inputs,18.88,18.85,15.63,10.61,9.71,1.36,1.2,1.6,1.76,15.49,10.57,1.02,0.0172,0.36,0.2626,0.032799999999999996,0.06709999999999999,0.0464,0.0602,0.0275,0.10099999999999999,0.055099999999999996,0.0732,2.65,5,-2.52,0.35,0.59,0.5,70.11,106.35,71.87,92.9,0.0559,1.69,1.17,7.27,1.03,0.014499999999999999,0.0275
Basic Materials,Building Materials,15.72,15.26,16.46,9.79,8.01,1.45,1.22,1.27,1.47,10.92,8.38,1.03,0.024300000000000002,0.32,0.2696,0.04769999999999999,0.0874,0.0677,0.057699999999999994,0.0285,0.1,0.0526,0.064,2.32,5,-2.71,0.42,0.5,0.53,55.09,78.73,70.55,70.51,0.059699999999999996,1.53,1.09,8.69,1.01,0.033,0.032
Basic Materials,Chemicals,21.71,22.66,18.77,13.03,10.9,1.51,1.32,1.67,1.85,16.53,10.23,1.12,0.0175,0.35,0.2501,0.0509,0.0738,0.0659,0.0637,0.0347,0.1108,0.055,0.069,3.09,5,-2.73,0.37,0.71,0.58,66.83,79.78,57.67,85.69,0.0874,1.9,1.37,11.2,1.04,0.04,0.04
Basic Materials,Forest Products,15.15,15.1,15.28,9.9,7.36,1.05,0.68,0.89,0.95,9.0,6.01,1.08,0.021400000000000002,0.3,0.2243,0.026600000000000002,0.04769999999999999,0.0355,0.0429,0.020099999999999996,0.0623,0.0327,0.057800000000000004,1.95,5,-2.71,0.48,0.31,0.51,54.19,86.21,55.94,84.83,0.0746,1.61,1.0,5.67,0.97,0.031,0.032
Basic Materials,Metals & Mining,21.72,20.71,20.98,-9.67,-9.33,2.2,1.76,2.55,2.64,14.12,8.83,1.1,0.0165,0.37,0.1838,0.0088,0.0354,0.0163,-0.11359999999999999,-0.1059,-0.1492,-0.1107,0.08220000000000001,2.44,3,-2.82,0.15,15.78,0.56,34.8,84.99,84.77,26.8,0.057800000000000004,2.55,2.07,No Debt,1.17,0.033,0.033
Basic Materials,Steel,16.41,16.42,13.69,8.86,7.84,0.77,0.45,0.85,0.89,6.79,5.18,1.04,0.0241,0.4,0.11939999999999999,0.011899999999999999,0.0256,0.0175,0.0276,0.0102,0.0467,0.0204,0.0632,1.97,5,-2.76,0.48,0.36,0.49,54.46,91.53,48.16,96.9,0.0719,1.49,0.94,5.09,1.03,0.032,0.008
Communication Services,Overall,22.5,22.47,18.48,6.57,6.23,2.16,1.83,2.1,2.96,14.98,10.46,0.94,0.0235,0.42,0.45990000000000003,0.0139,0.0451,0.026099999999999998,0.0242,0.0086,0.08039999999999999,0.0259,0.0637,2.45,5,-2.81,0.3,1.31,0.52,57.24,20.87,70.56,18.91,0.0974,1.65,1.52,13.05,0.96,0.022000000000000002,0.018000000000000002
Communication Services,Telecom Services,19.89,19.53,16.34,11.79,6.55,2.25,1.56,1.97,2.91,11.39,6.37,0.99,0.036699999999999997,0.63,0.5021,0.0512,0.1027,0.0727,0.0676,0.022000000000000002,0.1255,0.0387,0.0484,1.76,5,-2.91,0.59,0.32,0.4,54.49,18.56,91.45,-6.88,0.09910000000000001,1.13,1.08,4.94,0.73,0.012,0.021
Communication Services,Media - Diversified,22.44,22.38,16.98,3.2,6.04,1.73,1.37,1.62,2.07,12.5,9.33,0.9,0.0203,0.4,0.3924,-0.0116,0.0278,-0.0084,-0.006,-0.0070999999999999995,0.0207,0.014199999999999999,0.0646,2.09,4,-2.81,0.32,0.99,0.51,67.23,27.03,76.69,27.94,0.0842,1.66,1.52,13.56,0.96,0.016,0.0105
