Ticker,Company Name,Sector,Industry,Exchange,Cash/Debt,Interest Coverage,Equity/Assets,Debt/Equity,Debt/Assets,Debt/EBITDA,F-Score,Z-Score,M-Score,WACC,RoC,FS score,FS warnings
IBM,International Business Machines Corporation,Technology,Information Technology Services,NYSE,0.14,7.91,13.69%,301.80%,79.89%,358.01%,5,2.73,-2.53,6.14%,8.28%,2.75/8.0,2
AAPL,Apple Inc,Technology,Consumer Electronics,NASDAQ,0.81,23.07,20.17%,172.08%,34.71%,138.78%,7,6.73,-3.12,8.23%,23.71%,5.5/8.0,0
CMRE,Costamare Inc,Industrials,Marine Shipping,NYSE,0.11,2.3,46.85%,100.43%,0.00%,475.50%,6,0.65,-2.75,7.81%,6.45%,1.75/8.0,3
TSLA,"Tesla, Inc",Consumer Cyclical,Auto Manufacturers,NASDAQ,0.47,0.12,19.29%,202.77%,39.73%,617.25%,8,15.79,-2.49,13.48%,0.30%,3.25/8.0,2
AMD,"Advanced Micro Devices, Inc",Technology,Semiconductors,NASDAQ,3.09,6.71,46.90%,17.19%,8.79%,67.13%,6,21.3,-2.08,14.31%,24.32%,6.0/8.0,1
SE,Sea Limited,Communication Services,Electronic Gaming & Multimedia,NYSE,2.32,Exposed,22.24%,119.45%,26.91%,-115.76%,7,13.1,-2.74,8.83%,-41.92%,5.0/8.0,1
XPEL,"XPEL, Inc",Consumer Cyclical,Auto Parts,NASDAQ,inf,,67.31%,0.00%,0.00%,0.00%,5,50.78,-2.17,10.24%,52.96%,4.0/8.0,1
AMRC,"Ameresco, Inc",Industrials,Engineering & Construction,NYSE,0.1,,31.22%,78.32%,25.57%,369.23%,3,2.78,-1.57,3.59%,5.10%,2.0/8.0,4
NVDA,NVIDIA Corporation,Technology,Semiconductors,NASDAQ,5.47,54.73,70.48%,16.31%,11.96%,58.51%,6,41.39,-2.97,9.51%,55.25%,7.0/8.0,0
AMZN,"Amazon.com, Inc",Consumer Cyclical,Internet Retail,NASDAQ,2.35,9.09,27.55%,37.73%,11.34%,62.66%,5,7.58,-2.88,7.81%,10.44%,7.0/8.0,0
BBBY,Bed Bath & Beyond Inc,Consumer Cyclical,Specialty Retail,NASDAQ,0.93,Exposed,22.65%,84.31%,0.00%,-415.64%,4,3.85,-3.94,9.47%,-4.42%,3.0/8.0,3
GOLD,Barrick Gold Corporation,Basic Materials,Gold,NYSE,0.61,5.82,48.28%,25.38%,13.81%,61.71%,6,1.25,-2.5,1.65%,6.00%,4.75/8.0,2
JOE,The St. Joe Company,Real Estate,Real Estate-Diversified,NYSE,0.69,2.58,57.21%,51.92%,29.70%,457.63%,5,4.08,-2.65,7.40%,3.34%,3.5/8.0,0
MCD,McDonald's Corporation,Consumer Cyclical,Restaurants,NYSE,0.03,7.92,-17.28%,-416.29%,76.23%,317.69%,5,4.23,-2.77,3.82%,18.14%,3.5/8.0,0
MSFT,Microsoft Corporation,Technology,Software-Infrastructure,NASDAQ,2.16,20.44,39.26%,53.53%,25.24%,92.55%,9,7.69,-2.69,5.55%,25.83%,6.75/8.0,0
PBR,0,Energy,Oil & Gas Integrated,NYSE,0.13,2.77,31.92%,86.28%,30.09%,188.71%,6,0.77,-3.02,8.51%,5.71%,3.0/8.0,1
XOM,Exxon Mobil Corporation,Energy,Oil & Gas Integrated,NYSE,0.07,15.38,52.85%,23.61%,0.00%,113.45%,4,3.01,-2.65,7.38%,2.78%,4.25/8.0,2
RS,Reliance Steel & Aluminum Co,Basic Materials,Steel,NYSE,0.11,6.3,64.04%,30.52%,31.18%,121.48%,7,4.56,-2.95,6.71%,10.13%,6.5/8.0,0
SNAP,Snap Inc,Communication Services,Internet Content & Information,NYSE,2.37,Exposed,56.33%,39.47%,28.24%,-96.85%,4,22.05,-3.94,8.38%,-74.91%,5.0/8.0,1
DHT,"DHT Holdings, Inc",Energy,Oil & Gas Midstream,NYSE,0.08,2.53,51.01%,91.31%,0.00%,347.35%,8,0.98,-2.32,2.95%,7.91%,4.25/8.0,3
PG,The Procter & Gamble Company,Consumer Defensive,Household & Personal Products,NYSE,0.47,33.78,38.54%,74.63%,60.90%,179.78%,7,5.04,-2.87,2.78%,12.03%,6.0/8.0,0
EMN,Eastman Chemical Company,Basic Materials,Chemicals,NYSE,0.04,5.92,37.22%,97.05%,60.44%,333.45%,6,2.45,-2.77,8.02%,7.57%,3.5/8.0,0
KSS,Kohl's Corporation,Consumer Cyclical,Department Stores,NYSE,0.39,5.86,37.44%,34.06%,12.75%,91.65%,4,3.49,-3.73,8.65%,8.88%,6.0/8.0,0
BHP,BHP Group,Basic Materials,Other Industrial Metals & Mining,NYSE,0.59,16.75,45.75%,47.71%,21.95%,111.53%,4,3.42,-2.77,5.97%,11.03%,5.25/8.0,1
TSN,"Tyson Foods, Inc",Consumer Defensive,Farm Products,NYSE,0.13,6.42,44.52%,73.32%,66.43%,254.98%,6,3.02,-2.84,4.61%,7.97%,5.0/8.0,0
HPQ,HP Inc,Technology,Computer Hardware,NYSE,0.88,12.4,-3.56%,-430.60%,19.43%,146.39%,5,2.26,-2.55,6.74%,13.42%,2.5/8.0,0
