Name,Market Cap,P/E,Forward P/E,PEG,P/S,P/B,P/C,P/Free Cash Flow,Dividend Yield,EPS growth past 5 years,EPS growth next 5 years,Sales growth past 5 years,Float Short,Performance (Week),Performance (Month),Performance (Quarter),Performance (Half Year),Performance (Year),Performance (Year To Date),Analyst Recom,Change,Stocks
Waste Management,132.8885,46.17,30.47,6.64,3.17,4.75,51.85,33.46,0.013000000000000001,0.10369999999999999,0.0695,0.0718,0.0151,-0.0125,0.0012,0.060700000000000004,0.1114,0.0873,0.0757,2.15,0.0014000000000000002,22
Utilities-Renewable,60.76352,80.41,114.83,3.12,4.86,2.74,29.14,46.18,0.0304,-0.32270000000000004,0.2579,0.1606,0.018000000000000002,-0.0139,0.0017000000000000001,0.2776,0.39270000000000005,0.4328,0.4386,2.12,0.006500000000000001,10
Utilities-Regulated Water,56.093129999999995,40.98,36.89,4.95,5.27,2.95,46.85,62.86,0.0179,0.0538,0.0827,0.0429,0.0189,-0.012,-0.0034999999999999996,0.0594,0.0438,0.024,0.005600000000000001,2.29,-0.0043,15
Utilities-Regulated Gas,70.03880000000001,34.85,18.07,12.24,1.97,2.17,35.57,66.34,0.029300000000000003,0.0375,0.0285,0.0083,0.022799999999999997,0.0067,0.0633,0.11539999999999999,0.1013,-0.0368,-0.08199999999999999,2.21,-0.0022,14
Utilities-Regulated Electric,719.4376,25.47,18.08,4.41,2.52,1.65,34.09,47.86,0.0323,0.0204,0.057800000000000004,0.0203,0.014499999999999999,-0.0066,-0.0152,0.0526,0.038599999999999995,0.0040999999999999995,-0.031,2.38,-0.0026,38
Utilities-Independent Power Producers,29.02187,5.64,8.86,1.51,0.6,0.65,7.51,7.51,0.0378,0.2113,0.0374,0.0414,0.011899999999999999,-0.006500000000000001,0.026099999999999998,0.0051,-0.061900000000000004,-0.18719999999999998,-0.1913,2.43,-0.004,5
Utilities-Diversified,311.11337,22.35,17.0,4.19,2.15,1.88,19.8,64.12,0.038,-0.0001,0.053399999999999996,0.0311,0.0132,-0.0043,-0.015600000000000001,0.0528,-0.016,-0.0894,-0.1148,2.33,-0.0001,21
Uranium,6.43937,208.3,348.37,5.43,3.4,1.64,8.24,,0.0034000000000000002,0.0541,0.38380000000000003,-0.0432,0.0452,0.2576,0.3644,0.18289999999999998,0.2683,0.4188,0.43920000000000003,2.33,-0.006999999999999999,7
Trucking,54.82789,34.27,22.57,2.32,1.45,3.23,17.75,27.21,0.005600000000000001,0.1446,0.1474,0.06860000000000001,0.0405,0.0017000000000000001,0.052000000000000005,0.021099999999999997,0.1917,0.3875,0.3981,2.59,0.0062,19
Travel Services,182.53498000000002,135.41,32.37,32.94,4.71,2.9,4.93,122.22,,0.2253,0.041100000000000005,0.1387,0.0862,0.045700000000000005,0.2659,0.1972,0.2432,-0.1348,-0.19649999999999998,2.59,-0.0034000000000000002,14
Tools & Accessories,68.28552,26.97,19.93,2.85,2.1,3.48,23.86,25.5,0.0161,0.1101,0.0946,0.046,0.0336,0.0051,0.0712,0.1797,0.3053,0.1427,0.10890000000000001,2.36,0.0044,13
Tobacco,293.02582,17.52,10.87,3.05,3.12,3.05,17.95,27.33,0.0676,-0.023399999999999997,0.0574,0.0408,0.004699999999999999,0.06860000000000001,0.1655,0.035,0.0335,-0.058499999999999996,-0.0816,1.98,0.013600000000000001,6
