Ticker,Company Name,Sector,Industry,Exchange,Currency,Price,Market Cap (Millions),Beta,P/Graham Number,Earnings Yield,F-Score,Z-Score,M-Score,P/BV,P/E,EV/EBITDA,P/Operating CF,PEG Ratio,P/S,EV/Revenue,Debt/Equity,Interest Coverage,Dividend Yield,Payout Ratio,RoA,RoE,RoC,WACC,Profit Margin,Current Ratio,Quick Ratio,Asset Turnover,Inventory Turnover,Financial Score,Profitability Score,Valuation Score,Warnings
INTC,Intel Corporation,Technology,Semiconductors,NASDAQ,USD,56.66,239785.12,0.73,164.74%,10.69%,3,3.7,-3.12,2.96,11.47,5.89,6.78,0,3.08,2.87,0.45,37.96,2.33%,26.70%,14.43%,26.36%,17.67%,4.74%,26.84%,1.91,1.24,0.54,3.99,4.25/8.0,9.0/9.0,9.0/12.0,6
SMG,The Scotts Miracle-Gro Company,Basic Materials,Agricultural Inputs,NYSE,USD,166.13,8715.87,1.07,380.38%,7.44%,7,4.41,-2.51,12.12,26.78,9.14,25.12,0,2.33,1.89,2.3,4.09,1.40%,34.80%,15.15%,85.85%,12.00%,6.77%,14.60%,1.68,0.58,1.04,4.18,5.0/8.0,8.0/9.0,4.0/12.0,0
NVDA,NVIDIA Corporation,Technology,Semiconductors,NASDAQ,USD,520.53,325331.25,1.47,891.28%,2.92%,6,41.39,-2.97,26.66,85.04,40.44,62.32,0,22.02,9.31,0.16,54.73,0.12%,10.50%,18.27%,25.95%,55.25%,9.51%,25.61%,7.67,7.03,0.71,3.25,7.0/8.0,9.0/9.0,4.0/12.0,0
MSFT,Microsoft Corporation,Technology,Software-Infrastructure,NASDAQ,USD,242.01,1850408.46,0.82,662.47%,4.04%,9,7.69,-2.69,15.64,36.07,21.78,27.2,0,12.07,9.72,0.54,20.44,0.86%,31.10%,15.07%,40.14%,25.83%,5.55%,30.96%,2.52,2.33,0.49,23.28,6.75/8.0,8.0/9.0,5.5/12.0,7
CMRE,Costamare Inc,Industrials,Marine Shipping,NYSE,USD,8.5,982.32,1.84,,7.66%,6,0.65,-2.75,0.7,27.29,8.15,3.47,0,2.11,5.21,1.0,2.3,4.71%,0.00%,2.23%,4.89%,6.45%,7.81%,14.17%,0.74,0.62,0.16,22.64,1.75/8.0,4.0/9.0,8.0/12.0,13
IBM,International Business Machines Corporation,Technology,Information Technology Services,NYSE,USD,121.02,112662.6,1.25,,5.34%,5,2.73,-2.53,5.41,14.25,9.86,7.14,0,1.5,2.31,3.02,7.91,5.37%,106.20%,6.84%,50.12%,8.28%,6.14%,12.22%,1.02,0.87,0.56,24.63,2.75/8.0,3.0/9.0,7.5/12.0,13
AAPL,Apple Inc,Technology,Consumer Electronics,NASDAQ,USD,123.75,2169090.0,1.3,735.11%,3.24%,7,6.73,-3.12,33.2,37.76,25.28,26.89,0,7.9,7.46,1.72,23.07,0.65%,24.20%,17.33%,73.69%,23.71%,8.23%,20.91%,1.36,1.22,0.83,41.52,5.5/8.0,4.0/9.0,5.0/12.0,4
TSLA,"Tesla, Inc",Consumer Cyclical,Auto Manufacturers,NASDAQ,USD,695.0,707510.0,2.15,7677.85%,2.13%,8,15.79,-2.49,106.91,1291.91,38.22,162.68,0,25.11,2.95,2.03,0.12,0.00%,0.00%,-2.69%,-14.94%,0.30%,13.48%,-3.51%,1.13,0.71,0.77,6.15,3.25/8.0,6.5/9.0,3.0/12.0,14
AMD,"Advanced Micro Devices, Inc",Technology,Semiconductors,NASDAQ,USD,94.07,112507.72,2.27,1286.74%,2.27%,6,21.3,-2.08,39.8,127.56,69.87,117.32,0,13.01,5.85,0.17,6.71,nan%,nan%,6.44%,16.66%,24.32%,14.31%,5.07%,1.95,1.43,1.27,4.23,6.0/8.0,8.0/9.0,3.0/12.0,1
SE,Sea Limited,Communication Services,Electronic Gaming & Multimedia,NYSE,USD,198.57,93129.33,1.36,,-7.37%,7,13.1,-2.74,80.15,0.0,-13.31,271.51,0,25.97,4.45,1.19,Exposed,nan%,nan%,-39.45%,-318.25%,-41.92%,8.83%,-67.24%,1.87,1.55,0.59,48.31,5.0/8.0,2.0/9.0,5.0/12.0,7
XPEL,"XPEL, Inc",Consumer Cyclical,Auto Parts,NASDAQ,USD,46.52,1302.56,1.59,968.79%,5.21%,5,50.78,-2.17,37.22,76.44,21.22,65.13,0,8.68,2.69,0.0,,nan%,nan%,34.03%,50.04%,52.96%,10.24%,10.76%,3.08,1.59,3.16,6.62,4.0/8.0,9.0/9.0,3.0/12.0,1
AMRC,"Ameresco, Inc",Industrials,Engineering & Construction,NYSE,USD,59.12,2559.76,0.55,382.21%,5.52%,3,2.78,-1.57,5.97,48.33,12.95,0.0,0,2.5,1.15,0.78,,0.00%,0.00%,3.50%,11.03%,5.10%,3.59%,5.13%,1.26,1.05,0.68,82.24,2.0/8.0,6.0/9.0,4.5/12.0,16
AMZN,"Amazon.com, Inc",Consumer Cyclical,Internet Retail,NASDAQ,USD,3158.0,1607422.0,1.2,886.35%,2.12%,5,7.58,-2.88,25.9,92.42,25.14,29.07,0,4.62,2.7,0.38,9.09,nan%,nan%,5.97%,21.95%,10.44%,7.81%,4.13%,1.09,0.86,1.45,10.92,7.0/8.0,8.0/9.0,3.5/12.0,0
BBBY,Bed Bath & Beyond Inc,Consumer Cyclical,Specialty Retail,NASDAQ,USD,36.87,4571.88,2.12,,-4.93%,4,3.85,-3.94,2.59,0.0,-10.3,8.69,0,0.47,0.38,0.84,Exposed,0.92%,0.00%,-8.55%,-28.38%,-4.42%,9.47%,-5.50%,1.55,0.56,1.55,3.23,3.0/8.0,0.0/9.0,5.5/12.0,20
GOLD,Barrick Gold Corporation,Basic Materials,Gold,NYSE,USD,23.47,40502.84,0.04,120.11%,9.92%,6,1.25,-2.5,1.89,13.35,4.85,8.7,0,3.32,3.5,0.25,5.82,1.15%,15.80%,11.84%,27.35%,6.00%,1.65%,40.85%,2.9,1.67,0.29,3.34,4.75/8.0,5.5/9.0,7.5/12.0,10
JOE,The St. Joe Company,Real Estate,Real Estate-Diversified,NYSE,USD,36.42,2148.78,1.18,334.57%,2.81%,5,4.08,-2.65,4.13,63.0,21.73,56.55,0,15.46,9.22,0.52,2.58,nan%,nan%,3.01%,5.16%,3.34%,7.40%,21.07%,8.87,8.57,0.14,0.0,3.5/8.0,0.0/9.0,3.0/12.0,8
MCD,McDonald's Corporation,Consumer Cyclical,Restaurants,NYSE,USD,208.89,156876.39,0.58,,3.79%,5,4.23,-2.77,-19.11,31.87,18.03,25.46,0,8.24,10.19,-4.16,7.92,2.39%,76.30%,15.00%,0.00%,18.14%,3.82%,28.59%,0.98,0.86,0.52,197.25,3.5/8.0,6.0/9.0,3.0/12.0,2
PBR,0,Energy,Oil & Gas Integrated,NYSE,USD,10.77,70241.94,2.02,,7.68%,6,0.77,-3.02,0.96,0.0,5.45,2.4,0,1.18,3.06,0.86,2.77,1.67%,nan%,4.49%,14.01%,5.71%,8.51%,13.25%,0.97,0.54,0.34,5.33,3.0/8.0,7.0/9.0,4.0/12.0,2
XOM,Exxon Mobil Corporation,Energy,Oil & Gas Integrated,NYSE,USD,47.43,176009.4,1.34,146.87%,-0.02%,4,3.01,-2.65,0.92,52.93,8.2,10.34,0,0.9,1.67,0.24,15.38,7.34%,446.10%,4.05%,7.48%,2.78%,7.38%,5.61%,0.78,0.47,0.72,10.65,4.25/8.0,6.0/9.0,3.5/12.0,11
RS,Reliance Steel & Aluminum Co,Basic Materials,Steel,NYSE,USD,120.44,7949.04,1.02,115.63%,7.34%,7,4.56,-2.95,1.53,19.69,7.32,6.16,0,0.87,1.05,0.31,6.3,2.01%,39.80%,8.67%,14.20%,10.13%,6.71%,6.39%,4.46,1.89,1.36,4.54,6.5/8.0,8.0/9.0,7.0/12.0,0
SNAP,Snap Inc,Communication Services,Internet Content & Information,NYSE,USD,49.45,71059.65,1.28,,-4.72%,4,22.05,-3.94,31.44,0.0,-23.43,0.0,0,32.96,10.01,0.39,Exposed,nan%,nan%,-30.74%,-45.23%,-74.91%,8.38%,-60.25%,5.29,5.21,0.51,0.0,5.0/8.0,6.0/9.0,4.0/12.0,3
DHT,"DHT Holdings, Inc",Energy,Oil & Gas Midstream,NYSE,USD,5.38,988.47,-0.11,32.38%,20.82%,8,0.98,-2.32,1.06,2.73,7.7,1.98,0,1.25,2.38,0.91,2.53,22.30%,57.40%,3.99%,8.21%,7.91%,2.95%,13.77%,1.67,1.35,0.29,11.55,4.25/8.0,8.0/9.0,12.0/12.0,6
PG,The Procter & Gamble Company,Consumer Defensive,Household & Personal Products,NYSE,USD,137.68,360721.6,0.36,290.03%,5.06%,7,5.04,-2.87,7.75,26.32,17.08,20.07,0,4.98,4.55,0.75,33.78,2.23%,58.70%,10.83%,27.78%,12.03%,2.78%,17.99%,0.85,0.62,0.6,6.7,6.0/8.0,7.0/9.0,2.0/12.0,1
EMN,Eastman Chemical Company,Basic Materials,Chemicals,NYSE,USD,101.72,13935.64,1.56,171.67%,6.50%,6,2.45,-2.77,2.34,29.38,9.41,8.1,0,1.64,1.92,0.97,5.92,2.60%,75.80%,4.74%,12.91%,7.57%,8.02%,8.19%,1.86,0.88,0.58,4.34,3.5/8.0,4.0/9.0,6.0/12.0,4
KSS,Kohl's Corporation,Consumer Cyclical,Department Stores,NYSE,USD,40.44,6227.76,2.01,,-1.35%,4,3.49,-3.73,1.14,0.0,5.87,4.09,0,0.37,0.71,0.34,5.86,3.39%,nan%,5.11%,12.59%,8.88%,8.65%,3.46%,1.68,0.26,1.48,3.46,6.0/8.0,2.0/9.0,7.0/12.0,6
BHP,BHP Group,Basic Materials,Other Industrial Metals & Mining,NYSE,USD,71.79,181987.65,0.96,197.66%,10.44%,4,3.42,-2.77,3.8,22.87,6.9,11.59,0,4.24,3.29,0.48,16.75,3.98%,91.10%,7.74%,16.72%,11.03%,5.97%,18.53%,1.45,1.16,0.42,4.24,5.25/8.0,10.0/9.0,4.0/12.0,8
TSN,"Tyson Foods, Inc",Consumer Defensive,Farm Products,NYSE,USD,68.7,25075.5,0.74,91.81%,9.85%,6,3.02,-2.84,1.62,11.72,7.11,6.47,0,0.58,0.73,0.73,6.42,2.45%,28.70%,6.31%,14.49%,7.97%,4.61%,4.96%,1.86,0.8,1.27,9.16,5.0/8.0,8.0/9.0,8.0/12.0,0
HPQ,HP Inc,Technology,Computer Hardware,NYSE,USD,23.68,26077.92,1.08,,13.78%,5,2.26,-2.55,-21.86,10.13,7.44,8.61,0,0.46,0.46,-4.31,12.4,2.91%,35.20%,9.26%,0.00%,13.42%,6.74%,5.36%,0.8,0.53,1.73,8.07,2.5/8.0,2.0/9.0,5.0/12.0,6
FB,"Facebook, Inc",Communication Services,Internet Content & Information,NASDAQ,USD,273.55,788371.1,1.19,302.74%,5.27%,4,16.8,-3.23,7.8,31.17,17.86,23.33,0,9.98,6.91,0.0,1199.3,nan%,nan%,16.02%,19.96%,28.15%,7.86%,26.15%,4.4,4.28,0.61,0.0,7.0/8.0,7.0/9.0,4.0/12.0,1
COP,ConocoPhillips,Energy,Oil & Gas E&P,NYSE,USD,42.82,46459.7,1.9,,1.82%,7,2.52,-3.13,1.33,0.0,4.57,7.6,0,2.21,3.57,0.43,9.77,3.92%,nan%,10.23%,21.49%,10.35%,10.06%,22.07%,2.4,1.94,0.46,22.88,6.0/8.0,7.0/9.0,7.0/12.0,1
CRS,Carpenter Technology Corporation,Industrials,Metal Fabrication,NYSE,USD,28.76,1380.48,2.28,,1.78%,4,2.23,-2.78,0.95,0.0,11.22,4.33,0,0.71,0.86,0.5,6.4,2.78%,nan%,0.03%,0.07%,1.09%,10.29%,0.05%,2.8,1.07,0.68,2.45,3.0/8.0,3.0/9.0,6.5/12.0,5
BEN,"Franklin Resources, Inc",Financial Services,Asset Management,NYSE,USD,23.57,11596.44,1.28,88.03%,8.83%,4,2.23,-2.26,1.15,14.68,10.07,11.36,0,2.08,2.13,0.43,31.79,4.58%,67.90%,4.51%,7.83%,7.03%,6.96%,14.08%,3.14,3.14,0.32,0.0,5.5/9.0,0.0/9.0,8.5/12.0,7
EGOV,NIC Inc,Technology,Software-Application,NASDAQ,USD,24.18,1620.06,0.27,263.13%,5.91%,3,11.1,-2.45,6.59,26.71,16.93,24.18,0,3.99,3.13,0.0,,1.45%,38.90%,14.83%,21.80%,101.37%,2.35%,14.08%,3.11,2.98,1.05,0.0,5.0/8.0,5.0/9.0,4.0/12.0,5
HRB,"H&R Block, Inc",Consumer Cyclical,Personal Services,NYSE,USD,16.3,3194.8,0.77,379.71%,11.86%,3,1.32,-2.24,45.0,13.79,17.09,5.59,0,1.03,1.45,49.23,1.91,6.38%,84.50%,-0.18%,-2.46%,7.99%,4.36%,-0.29%,1.96,1.77,0.63,0.0,1.0/8.0,1.0/9.0,5.5/12.0,9
RTX,Raytheon Technologies Corporation,Industrials,Aerospace & Defense,NYSE,USD,74.48,89376.0,1.01,,5.93%,5,1.91,-2.7,2.14,0.0,7.53,17.69,0,1.07,1.24,1.04,5.06,3.25%,390.30%,4.04%,13.80%,5.78%,5.40%,7.19%,1.08,0.73,0.56,5.43,3.5/8.0,1.0/9.0,8.0/12.0,7
INVA,"Innoviva, Inc",Healthcare,Biotechnology,NASDAQ,USD,12.32,1412.46,0.64,112.39%,18.73%,6,2.33,-3.17,4.51,6.45,6.25,4.79,0,4.39,5.14,1.2,12.95,0.00%,0.00%,24.71%,67.35%,50.69%,4.57%,60.26%,80.29,80.11,0.41,0.0,3.5/8.0,10.0/9.0,14.5/12.0,3
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers-General,NYSE,USD,154.51,412696.21,0.68,,5.12%,5,4.51,-2.62,6.94,24.3,15.8,19.11,0,5.1,4.82,0.47,63.14,2.54%,61.60%,9.73%,25.36%,15.25%,4.55%,18.42%,1.26,0.94,0.53,3.13,4.0/8.0,6.0/9.0,4.5/12.0,10
TMO,Thermo Fisher Scientific Inc,Healthcare,Diagnostics & Research,NYSE,USD,515.47,186312.0,0.86,,4.15%,9,5.18,-2.56,6.28,38.18,20.78,27.15,0,6.54,5.12,0.6,6.18,0.16%,5.50%,6.45%,12.91%,7.49%,5.66%,14.47%,1.92,1.19,0.45,4.46,4.75/8.0,7.5/9.0,6.0/12.0,7
NFLX,"Netflix, Inc",Communication Services,Entertainment,NASDAQ,USD,503.22,227958.66,0.93,881.67%,2.62%,3,6.14,-1.48,30.07,81.27,12.99,206.67,0,9.57,6.55,1.95,4.16,nan%,nan%,6.23%,29.12%,8.59%,6.26%,9.26%,0.9,0.87,0.67,0.0,3.0/8.0,8.0/9.0,1.5/12.0,3
KODK,Eastman Kodak Company,Industrials,Specialty Business Services,NYSE,USD,9.59,469.91,5.66,,-57.99%,6,1.14,-2.06,1.67,0.0,12.54,0.0,0,0.44,0.13,0.38,Exposed,nan%,nan%,6.56%,200.00%,-5.80%,23.68%,7.73%,1.92,1.2,0.85,4.75,3.0/8.0,3.5/9.0,9.0/12.0,15
