Ticker,Company Name,Sector,Industry,Exchange,P/BV,P/Tangible BV,P/E,EV/EBITDA,PEG Ratio,P/S,EV/Revenue,EVtoIC,P/Graham Number,P/FCF,P/oFCF,Earnings Yield,Earning Value,COGP,Current Ratio,Quick Ratio,Asset Turnover,Inventory Turnover,Inventory Turnover GR,Days Inventory,Days Inventory GR,Days Payable,Days Payable GR,V score,V warnings
IBM,International Business Machines Corporation,Technology,Information Technology Services,NYSE,5.41,-2.16,14.25,9.86,0,1.5,2.31,1.24,,8.91,7.14,5.34%,9.47%,25.48%,1.02,0.87,0.56,24.63,-2.63% (3GR),14.82,2.71% (3GR),43.95,-4.24% (4GR),7.5/12.0,3
AAPL,Apple Inc,Technology,Consumer Electronics,NASDAQ,33.2,31.01,37.76,25.28,0,7.9,7.46,8.42,735.11%,29.57,26.89,3.24%,30.49%,33.42%,1.36,1.22,0.83,41.52,1.28% (3GR),8.79,-1.26% (3GR),91.05,-3.32% (4GR),5.0/12.0,0
CMRE,Costamare Inc,Industrials,Marine Shipping,NYSE,0.7,0.73,27.29,8.15,0,2.11,5.21,0.79,,6.1,3.47,7.66%,169.49%,42.59%,0.74,0.62,0.16,22.64,3.18% (3GR),16.12,-3.08% (3GR),8.8,12.89% (4GR),8.0/12.0,4
TSLA,"Tesla, Inc",Consumer Cyclical,Auto Manufacturers,NASDAQ,106.91,12.18,1291.91,38.22,0,25.11,2.95,3.11,7677.85%,387.25,162.68,2.13%,-102.04%,9.33%,1.13,0.71,0.77,6.15,25.05% (3GR),59.31,-20.03% (3GR),67.11,-12.48% (4GR),3.0/12.0,6
AMD,"Advanced Micro Devices, Inc",Technology,Semiconductors,NASDAQ,39.8,22.06,127.56,69.87,0,13.01,5.85,18.48,1286.74%,161.42,117.32,2.27%,333.33%,6.22%,1.95,1.43,1.27,4.23,-2.48% (3GR),86.31,2.54% (3GR),93.35,27.52% (4GR),3.0/12.0,0
SE,Sea Limited,Communication Services,Electronic Gaming & Multimedia,NYSE,80.15,16.05,0.0,-13.31,0,25.97,4.45,5.72,,970.1,271.51,-7.37%,-29.85%,12.40%,1.87,1.55,0.59,48.31,-7.25% (3GR),7.56,7.84% (3GR),16.04,0.50% (4GR),5.0/12.0,0
XPEL,"XPEL, Inc",Consumer Cyclical,Auto Parts,NASDAQ,37.22,14.14,76.44,21.22,0,8.68,2.69,12.6,968.79%,76.62,65.13,5.21%,196.08%,4.25%,3.08,1.59,3.16,6.62,10.20% (3GR),55.17,-9.25% (3GR),29.71,-15.86% (4GR),3.0/12.0,0
AMRC,"Ameresco, Inc",Industrials,Engineering & Construction,NYSE,5.97,2.28,48.33,12.95,0,2.5,1.15,1.06,382.21%,-7.33,0.0,5.52%,107.53%,2.80%,1.26,1.05,0.68,82.24,26.14% (3GR),4.44,-20.72% (3GR),105.48,5.31% (4GR),4.5/12.0,6
NVDA,NVIDIA Corporation,Technology,Semiconductors,NASDAQ,26.66,12.64,85.04,40.44,0,22.02,9.31,27.5,891.28%,76.91,62.32,2.92%,22.12%,40.14%,7.67,7.03,0.71,3.25,-12.09% (3GR),112.31,13.76% (3GR),60.42,2.64% (4GR),4.0/12.0,0
AMZN,"Amazon.com, Inc",Consumer Cyclical,Internet Retail,NASDAQ,25.9,21.53,92.42,25.14,0,4.62,2.7,6.85,886.35%,65.18,29.07,2.12%,4.35%,25.39%,1.09,0.86,1.45,10.92,3.87% (3GR),33.41,-3.73% (3GR),83.7,-1.40% (4GR),3.5/12.0,0
BBBY,Bed Bath & Beyond Inc,Consumer Cyclical,Specialty Retail,NASDAQ,2.59,0.74,0.0,-10.3,0,0.47,0.38,0.77,,14.29,8.69,-4.93%,-20.24%,-3.09%,1.55,0.56,1.55,3.23,6.72% (3GR),112.92,-6.29% (3GR),45.24,-4.32% (4GR),5.5/12.0,3
GOLD,Barrick Gold Corporation,Basic Materials,Gold,NYSE,1.89,1.96,13.35,4.85,0,3.32,3.5,1.08,120.11%,15.0,8.7,9.92%,44.25%,8.80%,2.9,1.67,0.29,3.34,3.86% (3GR),109.35,-3.72% (3GR),37.76,-0.52% (4GR),7.5/12.0,3
JOE,The St. Joe Company,Real Estate,Real Estate-Diversified,NYSE,4.13,2.28,63.0,21.73,0,15.46,9.22,1.8,334.57%,-27.2,56.55,2.81%,222.22%,80.65%,8.87,8.57,0.14,0.0,0.00% (3GR),0.0,0.00% (3GR),91.25,55.68% (4GR),3.0/12.0,0
MCD,McDonald's Corporation,Consumer Cyclical,Restaurants,NYSE,-19.11,-13.53,31.87,18.03,0,8.24,10.19,4.34,,36.89,25.46,3.79%,12.69%,44.29%,0.98,0.86,0.52,197.25,2.16% (3GR),1.85,-2.11% (3GR),36.2,18.47% (4GR),3.0/12.0,0
MSFT,Microsoft Corporation,Technology,Software-Infrastructure,NASDAQ,15.64,22.91,36.07,21.78,0,12.07,9.72,8.42,662.47%,36.69,27.2,4.04%,17.36%,67.89%,2.52,2.33,0.49,23.28,14.63% (3GR),15.68,-12.76% (3GR),99.25,6.01% (4GR),5.5/12.0,7
